Station_ID,Station_Name,Station_Category,lat0,lon0,fE,fN,k0,h0,H0,Undulation,ppm_Max,ppm_Range,ppm_avg,ppm_StdDev
VA_2033,Gehren (Thuer),-1,50.6552,11.0113,5000,10000,1.0000749,477.8,478.7,46.9,,,,
VA_2034,Gehren (Thuer) Stadt,-1,50.6522,11.0023,5000,10000,1.0000761,485.8,486.8,46.9,,,,
VA_2035,Gehrenseestrasse,5,52.5574,13.5268,5000,10000,1.0000079,50.2,53.7,39.0,,,,
VA_2036,Geigant,7,49.3240,12.6826,5000,10000,1.0000784,500.2,503.9,46.7,,,,
VA_2037,Geilenkirchen,4,50.9623,6.1256,5000,10000,1.0000114,72.5,73.0,45.5,,,,
VA_2038,Geilhausen,7,50.7732,7.6398,5000,10000,1.0000236,150.3,149.7,47.8,,,,
VA_2039,Geiselhoering,6,48.8230,12.3935,5000,10000,1.0000554,353.3,359.1,45.7,,,,
VA_2040,Geisenbrunn,5,48.1099,11.3263,5000,10000,1.0000880,561.4,568.3,46.0,,,,
VA_2041,Geisenhausen,-4,48.4750,12.2495,5000,10000,1.0000713,454.8,461.5,45.4,,,,
VA_2042,Geisenheim,5,49.9871,7.9699,5000,10000,1.0000145,92.5,93.1,48.3,,,,
VA_2043,Geising,6,50.7622,13.7878,5000,10000,1.0000920,587.2,590.2,43.9,,,,
VA_2044,Geisingen,6,47.9219,8.6550,5000,10000,1.0001034,659.7,663.9,49.0,,,,
VA_2045,Geislingen (Steige),4,48.6200,9.8431,5000,10000,1.0000729,464.8,468.8,48.2,,,,
VA_2046,Geislingen West,6,48.6320,9.8231,5000,10000,1.0000683,435.9,439.8,48.2,,,,
VA_2047,Geitau,7,47.6949,11.9674,5000,10000,1.0001207,769.8,776.6,46.8,,,,
VA_2048,Geithain,4,51.0592,12.6986,5000,10000,1.0000370,236.4,238.5,44.5,,,,
VA_2049,Gelbensande,6,54.2006,12.3066,5000,10000,1.0000021,13.4,13.4,38.0,,,,
VA_2050,Geldern,5,51.5143,6.3197,5000,10000,1.0000040,25.5,25.7,44.6,,,,
VA_2051,Gelnhausen,4,50.1972,9.1901,5000,10000,1.0000202,129.2,130.0,48.0,,,,
VA_2052,Gelsenkirchen Hbf,2,51.5063,7.1028,5000,10000,1.0000072,46.2,45.9,45.4,-1.0,1.7,-0.1,0.4
VA_2053,Gelsenkirchen Zoo,6,51.5393,7.1118,5000,10000,1.0000056,36.0,35.8,45.3,,,,
VA_2054,Gelsenkirchen-Buer Nord,6,51.5883,7.0508,5000,10000,1.0000106,67.5,67.3,45.1,,,,
VA_2055,Gelsenkirchen-Buer Sued,7,51.5503,7.0408,5000,10000,1.0000057,36.5,36.4,45.2,,,,
VA_2056,Gelsenkirchen-Hassel,6,51.6123,7.0678,5000,10000,1.0000094,59.8,59.7,45.0,,,,
VA_2057,Gelsenkirchen-Rotthausen,6,51.4943,7.0898,5000,10000,1.0000073,46.5,46.2,45.5,,,,
VA_2058,Geltendorf,3,48.1069,11.0383,5000,10000,1.0000924,589.4,596.0,46.4,-2.9,4.4,0.1,1.1
VA_2060,Gemuenden (Main),4,50.0511,9.7011,5000,10000,1.0000249,158.7,160.0,47.9,,,,
VA_2061,Genderkingen,7,48.6970,10.8863,5000,10000,1.0000624,397.8,402.9,46.9,,,,
VA_2062,Gengenbach,4,48.4060,8.0109,5000,10000,1.0000265,169.3,172.5,49.0,,,,
VA_2063,Genshagener Heide,-1,52.3294,13.2587,5000,10000,1.0000066,41.9,45.0,40.1,,,,
VA_2064,Gensingen-Horrweiler,5,49.8991,7.9389,5000,10000,1.0000167,106.6,107.3,48.4,,,,
